Object Id,XMin,XMax,YMin,YMax,171Yb_Renin Cell Intensity,175Lu_Aqu1 Cell Intensity,176Yb_H3 Cell Intensity,191Ir_DNA1 Cell Intensity,193Ir_DNA2 Cell Intensity,141Pr_aSMA Cell Intensity,143Nd_Vimentin Cell Intensity,145Nd_Aqu2 Cell Intensity,146Nd_Nestin Cell Intensity,147Sm_B-Cat Cell Intensity,148Nd_Calbindin Cell Intensity,150Nd_CD86 Cell Intensity,151Eu_CD31 Cell Intensity,152Sm_CD66b Cell Intensity,153Eu_Uromodulin Cell Intensity,156Gd_CD4 Cell Intensity,159Tb_CD68 Cell Intensity,161Dy_CD20 Cell Intensity,162Dy_CD8a Cell Intensity,164Dy_Cytokeratin7 Cell Intensity,165Ho_Megalin Cell Intensity,166Er_Col-IV Cell Intensity,169Tm_WT1 Cell Intensity,170Er_CD3 Cell Intensity,89Y_CD45 Cell Intensity,Cell Area (µm²),Cytoplasm Area (µm²),Membrane Area (µm²),Nucleus Area (µm²),Nucleus Perimeter (µm),Nucleus Roundness
0,1404,1407,853,856,16.6,0,0,0,0,34140.4,6212.7,504.1,1092.1,0,0,0,2,0,0,0,0,0,0,0,0,36747.3,512,0,0,10,0,10,0,0,0
1,1058,1062,913,916,0,18021.875,0,0,0,0,0,0,0,32.625,0,2730.625,0,0,0,0,0,0,0,0,29655.375,0,0,0,0,8,0,8,0,0,0
2,1058,1065,915,925,5.627119,27317.441,304.6271,0,0,0,0,170.88136,0,4.423729,0,1851.2712,0.677966,0,8.050847,0,0,0,0,0,26686.17,0,0,0,0,59,26,33,0,0,0
3,1159,1161,1333,1334,0,0,1123.3334,0,0,0,0,0,1365,0,37177,7281.6665,1.666667,0,0,0,0,0,0,3120.6667,0,0,2730.6667,0,0,6,0,6,0,0,0
4,1480,1503,790,816,1.870787,1060.323,2361.503,811.80054,1056.441,2407.9746,1780.6938,552.2472,452.46628,0.733146,1569.5674,2331.7698,0.505618,552.2612,235.65169,0,0,48.022472,341.33707,1091.3679,343.97473,1477.5,1101.6573,10.233146,0,356,205,0,151,57,0.599115
5,997,1019,796,816,3.044503,108.450264,3348.6858,1798.3665,2211.7224,113.58377,0,131.96335,250.13612,2.049738,3516.5603,3202.4084,33.424084,0,373.48953,0,0,44.753925,0,10428.217,772.8639,1223.4764,40.209423,0,0,382,319,0,63,32,0.829071
6,813,844,799,820,1.784946,525.4552,2274.3208,1512.2133,1839.9015,1318.0609,205.10931,424.60214,577.3441,4.677419,12297.81,5559.122,4.114696,352.3387,175.9086,0,0,239.99821,0,5813.575,1003.0968,819.80286,97.26165,0,0,558,432,0,126,46,0.828704
7,934,959,800,818,3.288136,137.73164,3454.9124,2644.7515,2929.2063,62.531075,0,142.40112,123.39831,0.737288,386.9435,1110.7627,0.59322,0,156.9096,0,56.446327,48.293785,0,238.01695,552.1949,800.0763,69.42373,0,0,354,262,0,92,41,0.744668
8,1403,1430,793,814,0,1453.0604,2065.9275,923.0797,1151.6256,10766.246,1263.4131,340.9372,422.0483,160.81885,13.942029,1108.0797,4.176329,0,322.79468,0,0,82.58937,0,474.88406,69.85024,3115.0266,593.62317,0,0,414,261,0,153,54,0.717347
9,911,932,792,815,1.300261,104.87728,1122.4491,1658.1985,1909.9269,1038.1619,4.13577,65.8094,121.18799,1.362924,0,399.2559,0.156658,0,0.744125,0,0,0,0,48.88773,86.01828,545.2663,8.020887,0,0,383,311,0,72,36,0.840535
10,1102,1131,792,820,3.930599,10290.403,2001.7113,2232.2288,2504.1104,595.71924,0,198.7776,94.739746,2.881703,0,2411.9084,0.709779,0,572.9527,33.402206,0,314.59622,131.36594,191.9653,5421.71,2214.5662,1860.6436,0,0,634,546,0,88,39,0.867859
11,1266,1292,802,819,2.656,4494.724,6095.02,4029.188,4251.868,290.412,0,362.952,65.52,3.132,0,3407.82,16.332,262.14,352.308,0,0,136.768,786.42,393.208,1269.592,3527.12,1675.264,262.14,0,250,158,0,92,42,0.78895
12,1326,1346,796,810,4.762295,144.37296,339.11887,5940.4917,6227.959,18541.422,1769.8197,289.2377,358.0492,276.07376,0,2775.3894,0.614754,0,37.807377,0,0,70.065575,0,172.65984,11.25,21017.672,579.1475,0,0,244,202,0,42,24,0.768212
13,1397,1404,798,815,3.254902,307.47058,2698.4805,3696.0981,3877.2646,35098.746,2098.343,593.05884,481.80392,12.794118,0,1285,1.862745,642.5,0,0,0,0,0,229.46078,5.382353,14265.02,5882.961,0,0,102,67,0,35,22,0.833884
14,1367,1384,797,821,3.828947,957.5855,2594.283,4.842105,43.095394,128.17763,2158.6382,99.49342,314.32565,1.717105,0,1221.5953,0.394737,0,0.9375,0,0,0,0,107.78619,38.536182,404.3158,1519.1578,0,0,304,252,0,52,28,0.705814
15,1381,1402,798,828,2.054456,2295.1387,1889.9604,265.17328,411.36633,7938.6387,3741.344,349.37625,547.401,5.814356,0,2757.661,1.247525,162.21535,53.910892,0,0,0,0,393.94556,32.16337,7268.891,565.2277,0,0,404,285,0,119,48,0.702227
16,1144,1173,795,821,5.007936,14082.561,2310.4792,1995.7063,2072.6,92.76667,10.266666,224.04445,78.00159,2.9,0,2427.2222,0.825397,208.04762,407.48413,0,0,524.6413,1111.7683,111.45238,10595.404,1357.6158,4109.0034,0,0,630,543,0,87,38,0.863826
17,1071,1083,799,820,6.240602,11255.338,2319.9473,2610.278,3548.9849,908.8421,0,530.6316,164.22557,1.962406,0,3284.9624,0.676692,0,878.218,0,0,385.62405,1108.7368,246.36842,8686.1875,1035.0676,5551.1577,807.594,0,133,92,0,41,24,0.77631
18,889,913,797,823,3.836134,17269.262,1656.0231,1269.9916,1498.0358,1183.2374,0,105.90336,86.033615,3.289916,0,1606.25,0.903361,275.35715,189.42647,0,0,107.7479,134.81723,78.67227,5585.0044,2078.5232,1656.4706,0,0,476,401,0,75,34,0.818735
19,1085,1101,808,818,10.108109,8771.615,3291.8445,1850.75,2274.2703,424.81082,0,715.2838,55.337837,1.763514,0,4132.838,1.554054,0,2820.777,2214.0203,0,115.51351,618.12164,347.91217,7118.0337,5585.4795,9568.852,1377.6418,442.80405,148,91,0,57,28,0.78543
20,1345,1365,801,819,2.902098,1708.1224,1060.5525,4540.364,4857.8145,12766.965,5522.4126,334.8916,792.34265,1.825175,0,3055.2449,1.398601,0,73.83217,0,0,59.776222,0,49.1014,47.353146,23764.885,913.007,0,0,286,234,0,52,32,0.632081
21,1486,1510,803,826,1.320955,5088.432,2126.716,1753.9523,1807.8514,220.7984,892.756,53.485413,130.3581,0,0,869.1644,0.371353,0,78.46684,0,0,90.69496,0,49.665783,1237.1698,95.883286,200.99734,0,0,377,340,0,37,23,0.8407
22,1206,1235,801,821,3.688889,10014.361,2347.4526,2638.1475,2819.3413,1827.509,81.270706,142.57373,126.85657,1.581818,0,1588.7273,0.707071,132.39394,211.56161,0,0,69.074745,16.557575,66.19596,5477.9194,1435.3596,403.39395,0,0,495,426,0,69,34,0.853879
23,1255,1277,802,822,5.316726,17557.826,3045.1033,2370.1353,2474.0784,20.483986,0,322.91104,58.295372,0,0,2565.427,0.893238,233.22064,388.5872,0,0,294.0605,29.16726,149.92526,10059.555,1089.9004,1187.9857,0,0,281,203,0,78,37,0.716216
24,1060,1080,802,830,3.42268,14974.124,4743.354,2496.1719,2870.7869,173.45016,0,259.84537,168.87285,3.587629,0,3528.2302,0.859107,0,876.96564,0,0,342.70447,61,96.515465,12995.183,1250.6736,3247.945,237.72508,0,291,242,0,49,28,0.782013
25,1327,1344,812,825,0.864583,2151.875,1107.8281,2327.927,2538.6355,15288.234,1215.0521,341.3229,255.9427,2.71875,0,2161.7449,1.302083,0,111.46354,0,0,0,0,195.04167,214.4948,7644.797,965.3333,0,0,192,166,0,26,18,0.8577
26,1404,1427,813,830,2.932353,1209.4353,1767.7235,1974.0177,2253.703,21313.146,3250.106,533.7529,473.76764,5.373529,16.079412,2377.25,1.294118,192.75,405.92352,0,0,435.78235,0,619.5441,17.761765,13803.103,1665.5059,0,0,340,298,0,42,25,0.776614
27,914,939,812,825,2.563707,140.97298,1719.0927,2808.8455,3080.2817,2299.3438,88.42085,175.16989,252.9807,2.015444,0,759.09265,0.656371,506.06177,64.6332,0,0,0,0,108.440155,80.559845,2029.0386,177.91505,0,0,259,188,0,71,34,0.802075
28,801,819,806,838,2.778243,1514.2782,5205.0923,1964.8033,2325.4624,1190.3431,1470.6882,516.7594,519.7699,5.460251,7284.0605,3656.067,0.585774,137.10251,609.10254,0,0,208.6339,0,8059.659,459.49164,666.364,670.5272,0,0,478,379,0,99,40,0.721615
29,1170,1199,806,824,5.077647,10710.285,2564.894,1978.5436,2385.3105,182.31529,61.72,320.25177,89.93176,1.842353,0,2827,0.635294,0,338.38824,0,0,315.10352,0,143.18353,5704.308,337.01413,1542.0236,0,0,425,357,0,68,34,0.78072
30,941,969,810,842,1.936667,1217.2067,2347.965,1928.565,2325.31,575.5983,0,949.395,341.27335,110.095,3870.4016,1929.6417,0.7,0,65.308334,0,0,194.705,0,280.86,692.79834,1507.08,322.56,0,0,600,453,0,147,60,0.691095
