,umap_1,umap_2
0,1.5015045,-1.7830683
1,12.43599,7.215095
2,12.431968,7.0504193
3,-1.3729662,9.619878
4,-0.25836885,3.4221776
5,-1.7106823,5.0053344
6,-0.8780365,7.2341127
7,-0.5800233,3.6868634
8,0.94490683,0.6736699
9,-0.3770467,3.3127165
10,6.550962,6.634014
11,4.314717,4.0332923
12,1.4258952,-1.3169155
13,1.0528455,-1.4864143
14,-0.20075107,3.7323565
15,1.1062007,1.0037
16,10.00122,7.108691
17,8.524709,7.766172
18,9.557283,5.525073
19,8.375282,7.7314243
20,1.4746875,-1.3588573
21,3.9915874,4.828585
22,6.4351997,6.6287103
23,10.204035,6.173259
24,10.789973,7.4937825
25,1.137677,-0.16134782
26,1.2286378,-0.81596285
27,-0.2742514,3.0080576
28,-1.2662088,6.4203496
29,7.0023255,6.6155148
30,-0.5177752,5.61928
31,1.5000402,-1.7193637
32,4.294969,4.9587297
33,6.406217,5.729292
34,11.98064,7.3905964
35,4.089249,4.727196
36,10.02377,7.8488116
37,-0.22078554,2.9698434
38,6.8445287,6.8233385
39,5.769853,6.2285933
40,-1.120173,5.739174
41,9.516465,5.5177636
42,10.030981,6.012691
43,-2.7068372,1.9180204
44,1.5278918,-1.7929953
45,3.178014,4.4049067
46,2.9016273,3.4599934
47,5.8648667,5.8750234
48,10.937029,7.647269
49,10.09638,6.114118
50,5.3564763,5.8748817
51,3.861605,3.9377413
52,1.4108816,5.5035605
53,-2.695446,1.9388481
54,-1.1034889,5.7605577
55,3.719439,4.010594
56,1.5527378,-1.7731041
57,5.022767,4.9216948
58,7.3829207,6.1899023
59,9.601398,7.1443033
60,-0.62786496,3.9631364
61,1.2226957,-0.5223275
62,1.2993715,-0.64969033
63,1.1818855,-1.4227241
64,3.4258249,4.029901
65,1.2268943,-1.545661
66,5.306475,5.8585505
67,7.6413193,6.2867923
68,-0.5933206,3.7333004
69,9.775411,5.6880054
70,8.704593,7.4757996
71,1.257586,-0.62366974
72,10.522289,6.603292
73,-0.090378344,6.5361614
74,-1.0185927,2.282478
75,-1.1020093,5.788423
76,5.2682476,5.7956896
77,9.346848,6.001662
78,1.8103843,1.3410486
79,-0.7284412,5.3217745
80,-0.8494193,7.9892793
81,9.997195,7.1687107
82,1.4586953,1.9909049
83,0.78450644,1.5312444
84,-0.21919748,3.1238158
85,-0.4485927,5.704293
86,9.508814,5.7335243
87,-1.4276509,7.0904956
88,0.03590872,2.3710618
89,-0.4998688,5.54822
90,-1.6458284,7.1689715
91,-0.43884316,5.8057785
92,5.188202,5.7213845
93,-0.7861848,5.2942295
94,7.024086,6.951162
95,11.163327,7.1858263
96,2.072738,2.1445012
97,-0.8324648,8.399693
98,9.893874,6.0786695
99,1.3111101,5.4267483
100,3.795094,4.3388095
101,5.793435,5.9382067
102,-0.10892708,6.693451
103,3.7739158,4.1741576
104,-0.27643114,3.1672583
105,-3.2399178,5.779215
106,10.075806,5.461021
107,5.347572,5.9027476
108,2.089608,2.7911315
109,-0.87430155,5.2924957
110,8.788251,7.398629
111,10.483025,7.0481386
112,1.2097689,1.3356299
113,9.848505,5.7365026
114,-1.0634477,5.7620673
115,2.0399616,3.252027
116,-0.16667569,2.833186
117,5.5520177,5.861975
118,4.155787,4.7382975
119,5.9030247,6.339497
120,1.7784435,2.6895723
121,6.0034738,0.85046035
122,8.77598,5.1566534
123,9.9843025,7.900605
124,-1.1002123,5.7623487
125,8.441751,7.7414274
126,8.919214,6.538545
127,9.271857,6.0569515
128,5.3325663,1.0311859
129,12.39729,6.6220884
130,2.686143,2.0805879
131,6.1575527,4.6598577
132,8.685003,7.754142
133,3.8502867,3.776151
134,-1.8830442,5.368172
135,11.871804,6.1313624
136,6.899913,4.4602346
137,3.0660982,4.423029
138,5.8009057,6.2040815
139,10.229355,6.11172
140,12.35367,7.263129
141,2.3924308,0.9491488
142,5.586653,1.1474934
143,-0.58511955,3.6906857
144,-1.0596595,6.022337
145,0.8325547,1.3975632
146,4.324036,4.853759
147,8.581644,7.7860856
148,5.7745967,1.7355981
149,5.544019,1.1601331
150,0.45954043,1.6090286
151,9.297155,7.797795
152,4.331925,4.8171334
153,11.633081,7.1952353
154,3.3315294,4.6671805
155,-0.48451862,3.4705043
156,0.05377544,2.4283895
157,8.7968235,6.9921184
158,9.717681,6.0435767
159,6.2140956,5.7704434
160,-0.3389085,3.2190385
161,5.724548,1.6486741
162,1.016102,0.34039834
163,2.727988,2.6129708
164,1.9577527,3.0194087
165,9.684629,6.8597503
166,8.444428,5.7685127
167,3.201634,0.7932459
168,5.8895493,1.5878811
169,-0.31592268,3.276195
170,6.663023,4.4732575
171,-0.08698005,2.8713472
172,10.366453,6.9610367
173,9.354535,7.6877813
174,5.19706,1.1280693
175,10.111749,5.3795295
176,-0.2913094,3.1478796
177,7.4173937,6.1244297
178,9.598543,5.600569
179,-0.3978649,3.48075
180,2.7952378,2.13835
181,4.4743943,4.7558627
182,10.106504,7.02773
183,6.0107617,4.8890896
184,2.0810192,1.2174617
185,6.3425617,0.42270124
186,9.1031,6.0365705
187,9.955811,6.327171
188,1.0766717,0.22416237
189,1.0537163,0.25986
190,-0.19009513,2.944195
191,7.5635266,6.219513
192,9.107515,6.5164647
193,8.543625,7.148694
194,-2.4131064,2.1141257
195,-0.37282118,3.2603736
196,9.645574,7.2676334
197,-0.5147487,3.6398692
198,-0.18640365,5.0888453
199,1.1397626,0.15454711
200,8.461343,7.6691413
201,7.45624,5.2513447
202,6.787818,4.551666
203,4.3548126,5.116211
204,9.097145,7.0529556
205,0.7470723,1.3993267
206,8.800909,4.298395
207,3.0929675,0.15437368
208,10.831424,7.450955
209,3.667689,4.432826
210,4.6105146,4.6449623
211,1.1234236,-1.495274
212,1.9373803,2.2576687
213,0.9185031,1.3834169
214,11.728561,7.4924603
215,1.2217239,-0.8566651
216,8.765907,6.354768
217,7.043827,7.130508
218,8.511446,6.278855
219,4.000923,0.33427894
220,3.1097982,4.4150915
221,1.602231,-1.742494
222,1.1205591,-1.4097909
223,4.119452,0.6981928
224,3.5289161,4.5484853
225,2.5306861,0.5300369
226,1.1915505,-1.4444673
227,3.2041042,0.20700984
228,-0.95386267,3.3463023
229,-3.6650765,6.095514
230,1.4817802,-1.2600477
231,1.0699531,-1.4132521
232,8.659727,7.7994037
233,1.6230893,1.6827415
234,-0.18520273,2.9498935
235,4.8321357,2.9941275
236,3.2229223,2.1282032
237,8.994506,6.588056
238,-0.7942498,3.2306159
239,1.419296,-0.51448
240,1.1605346,0.16237155
241,-1.8549155,2.030153
242,-3.0175388,5.7036266
243,-3.117126,5.760269
244,2.018006,2.1336465
245,6.804014,4.687904
246,1.7533386,1.5248455
247,6.882714,6.9514794
248,1.6279323,1.7695521
249,8.658448,4.63478
250,11.262962,7.2869253
251,-0.49334216,3.7156963
252,11.749002,6.080459
253,5.359262,5.9223294
254,6.94969,6.3976374
255,6.3657446,5.856873
256,6.994756,6.9437637
257,1.2468222,5.5795474
258,-3.8996534,6.189904
259,-1.5079553,2.1782908
260,4.0561676,3.692147
261,-1.4118463,2.0878987
262,3.961087,4.61393
263,8.070848,7.478
264,-2.2251017,1.7331958
265,3.3864775,1.6281039
266,10.872945,6.3157682
267,-1.0933696,2.9427228
268,-0.77925396,3.6807256
269,-3.3125436,5.732209
270,-2.75763,1.9109075
271,6.466894,6.3478775
272,12.149077,6.5362673
273,-0.62554854,3.842977
274,11.33759,6.0022655
275,8.803822,6.747272
276,-0.33090454,4.1130543
277,3.1402526,2.3625767
